Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
HISTO_ZT.Contig1089.Fgenesh_Aspergillus.126.final_new_mrna	0.006	No mitochondrial presequence	73(MPP)	0.055	70-74	17-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127a.eannot.1328.final_new_mrna	0.000	No mitochondrial presequence	14(MPP)	-0.143	43-47	18-27-high	-	-	-	18-23	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.eannot.1884.final_new_mrna	0.000	No mitochondrial presequence	13(MPP)	-0.154	88-92	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
REPEAT_NAA.Contig17f.Fgenesh_histo.13.final_new_mrna	0.005	No mitochondrial presequence	10(MPP)	-0.100		4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_Aspergillus.145.final_new_mrna	0.005	No mitochondrial presequence	46(MPP)	0.000	58-62	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.Fgenesh_Aspergillus.62.final_new_mrna	0.338	No mitochondrial presequence	70(MPP), 71(Icp55)	0.086	34-38,67-71	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig382.Fgenesh_histo.26.final_new_mrna	0.000	No mitochondrial presequence	6(MPP)	0.167		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DU.Contig204.Fgenesh_Aspergillus.22.final_new_mrna	0.000	No mitochondrial presequence	85(MPP)	-0.012		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.Fgenesh_histo.14.final_new_mrna	0.111	No mitochondrial presequence	23(MPP)	0.087		15-24-high	-	-	-	-	-	-	-	20-25	-	-	-	-	-	-	
HISTO_JF.Contig157.Fgenesh_Aspergillus.38.final_new_mrna	0.000	No mitochondrial presequence	34(MPP)	-0.118		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.eannot.2097.final_new_mrna	0.008	No mitochondrial presequence	30(MPP)	0.033	64-68,82-86	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161e.Fgenesh_histo.11.final_new_mrna	0.025	No mitochondrial presequence	26(MPP), 27(Icp55)	0.038	23-27	20-29-high	-	-	-	-	-	-	-	-	21-26	-	-	-	-	-	
HISTO_DA.Contig93-snap.26.final_new_mrna	0.000	No mitochondrial presequence	40(MPP)	0.025	79-83	1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1089.eannot.1609.final_new_mrna	0.017	No mitochondrial presequence	16(MPP)	0.188		8-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZE.Contig149.Fgenesh_histo.65.final_new_mrna	0.000	No mitochondrial presequence	34(MPP)	-0.029		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig93.Fgenesh_Aspergillus.197.final_new_mrna	0.003	No mitochondrial presequence	38(MPP)	0.158		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_histo.217.final_new_mrna	0.000	No mitochondrial presequence	18(MPP)	-0.056		9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_histo.360.final_new_mrna	0.003	No mitochondrial presequence	53(MPP)	0.057		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig317.eannot.1569.final_new_mrna	0.000	No mitochondrial presequence	49(MPP)	-0.020		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
REPEAT_NAA.Contig17f-snap.13.final_new_mrna	0.006	No mitochondrial presequence	15(MPP)	0.133		14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig360.eannot.1023.final_new_mrna	0.000	No mitochondrial presequence	86(MPP)	-0.081	38-42	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.Fgenesh_histo.71.final_new_mrna	0.006	No mitochondrial presequence	13(MPP)	-0.077	14-18	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.Fgenesh_Neurospora.183.final_new_mrna	0.153	No mitochondrial presequence	50(MPP)	0.080	89-93	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZW.Contig284.Fgenesh_Neurospora.5.final_new_mrna	0.000	No mitochondrial presequence	17(MPP)	0.000		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig296.eannot.1373.final_new_mrna	0.000	No mitochondrial presequence	41(MPP)	0.000		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161a.eannot.1160.final_new_mrna	0.000	No mitochondrial presequence	31(MPP)	-0.129		6-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161e.Fgenesh_histo.71.final_new_mrna	0.015	No mitochondrial presequence	12(MPP)	0.083	1-5,82-86	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FJ.Contig643.Fgenesh_Neurospora.16.final_new_mrna	0.010	No mitochondrial presequence	17(MPP)	-0.118	17-21,57-61,79-83	11-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AS.Contig189.Fgenesh_Aspergillus.2.final_new_mrna	0.021	No mitochondrial presequence	12(MPP)	0.167	19-23	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_histo.120.final_new_mrna	0.000	No mitochondrial presequence	89(MPP)	-0.011		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1128f.Fgenesh_Aspergillus.29.final_new_mrna	0.004	No mitochondrial presequence	21(MPP), 22(Icp55)	0.238	3-7	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig317.Fgenesh_Aspergillus.137.final_new_mrna	0.000	No mitochondrial presequence	37(MPP)	0.000		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LG.Contig392.eannot.1794.final_new_mrna	0.010	No mitochondrial presequence	46(MPP)	0.000		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig93.Fgenesh_histo.94.final_new_mrna	0.000	No mitochondrial presequence	41(MPP)	0.073	31-35	3-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DF.Contig537.Fgenesh_Aspergillus.81.final_new_mrna	0.000	No mitochondrial presequence	45(MPP)	-0.044	54-58	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.Fgenesh_Aspergillus.19.final_new_mrna	0.000	No mitochondrial presequence	24(MPP)	0.125	6-10,42-46,46-50,49-53	2-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BQ.Contig243.Fgenesh_Aspergillus.24.final_new_mrna	0.000	No mitochondrial presequence	15(MPP)	-0.133	75-79	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.eannot.2052.final_new_mrna	0.045	No mitochondrial presequence	37(MPP)	0.054	8-12,77-81	1-12-high	10-15	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DY.Contig31.fgenesh_plus.48.final_new_mrna	0.000	No mitochondrial presequence	16(MPP)	-0.188		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig317.Fgenesh_histo.16.final_new_mrna	0.000	No mitochondrial presequence	45(MPP)	0.089	26-30,43-47	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig297.Fgenesh_histo.23.final_new_mrna	0.000	No mitochondrial presequence	88(MPP)	-0.034		1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig174.fgenesh_plus.36.final_new_mrna	0.000	No mitochondrial presequence	41(MPP)	0.024		11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DF.Contig537.Fgenesh_Aspergillus.9.final_new_mrna	0.003	No mitochondrial presequence	81(MPP)	0.086	35-39,93-97	18-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LG.Contig392.Fgenesh_Aspergillus.42.final_new_mrna	0.988	Possessing mitochondrial presequence	14(MPP)	0.214	11-15,26-30	20-29-high	5-10	-	-	-	-	-	-	-	-	-	-	25-30	-	-	
HISTO_GY.Contig460.Fgenesh_histo.69.final_new_mrna	0.000	No mitochondrial presequence	7(MPP)	0.000		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig207-snap.78.final_new_mrna	0.000	No mitochondrial presequence	56(MPP)	-0.036	52-56	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459.Fgenesh_Neurospora.9.final_new_mrna	0.013	No mitochondrial presequence	22(MPP)	0.045		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_Neurospora.231.final_new_mrna	0.009	No mitochondrial presequence	23(MPP)	0.087	56-60	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1117.fgenesh_plus.3.final_new_mrna	0.022	No mitochondrial presequence	36(MPP)	0.028		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.Fgenesh_histo.180.final_new_mrna	0.016	No mitochondrial presequence	13(MPP)	0.077		20-29-low	-	-	-	-	-	-	-	20-25	-	19-24	-	-	-	-	
HISTO_ZL.Contig1161d.genewise.69.final_new_mrna	0.000	No mitochondrial presequence	16(MPP)	-0.125	13-17,74-78	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig320.Fgenesh_Neurospora.27.final_new_mrna	0.000	No mitochondrial presequence	4(MPP)	0.000		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LG.Contig392.eannot.1703.final_new_mrna	0.000	No mitochondrial presequence	34(MPP)	-0.088		6-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZW.Contig245.Fgenesh_Aspergillus.61.final_new_mrna	0.000	No mitochondrial presequence	12(MPP)	0.000	10-14,50-54	19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig297.eannot.1512.final_new_mrna	0.254	No mitochondrial presequence	17(MPP), 25(Oct1)	0.118		15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig2f.Fgenesh_Neurospora.15.final_new_mrna	0.000	No mitochondrial presequence	80(MPP)	-0.037		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.Fgenesh_histo.24.final_new_mrna	0.003	No mitochondrial presequence	44(MPP)	0.000		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.eannot.2054.final_new_mrna	0.000	No mitochondrial presequence	76(MPP)	0.013	73-77	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.genewise.37.final_new_mrna	0.000	No mitochondrial presequence	43(MPP)	0.093	5-9,16-20	16-25-high	-	-	-	-	-	-	-	-	22-27	-	-	-	-	-	
HISTO_ZL.Contig1161b.eannot.1332.final_new_mrna	0.000	No mitochondrial presequence	43(MPP)	-0.070	52-56	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1158.Fgenesh_histo.30.final_new_mrna	0.004	No mitochondrial presequence	34(MPP)	0.147		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.Fgenesh_histo.93.final_new_mrna	0.000	No mitochondrial presequence	72(MPP)	0.000		4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.Fgenesh_histo.98.final_new_mrna	0.000	No mitochondrial presequence	18(MPP)	0.111		7-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig65.Fgenesh_histo.50.final_new_mrna	0.866	Possessing mitochondrial presequence	31(MPP), 39(Oct1)	0.161	13-17,28-32	9-18-high	-	-	14-19	-	13-18	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457.Fgenesh_Aspergillus.167.final_new_mrna	0.000	No mitochondrial presequence	68(MPP)	0.015	25-29	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig4..fgenesh_plus.5.final_new_mrna	0.036	No mitochondrial presequence	17(MPP)	0.176	14-18	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZE.Contig158.Fgenesh_histo.7.final_new_mrna	0.005	No mitochondrial presequence	14(MPP)	0.000	19-23,86-90,89-93	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FJ.Contig636.Fgenesh_Aspergillus.29.final_new_mrna	0.000	No mitochondrial presequence	8(MPP)	0.125		1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.Fgenesh_histo.145.final_new_mrna	0.048	No mitochondrial presequence	63(MPP), 64(Icp55)	0.032		2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig296.Fgenesh_histo.136.final_new_mrna	0.000	No mitochondrial presequence	39(MPP)	-0.077	36-40	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig320.Fgenesh_Aspergillus.20.final_new_mrna	0.000	No mitochondrial presequence	8(MPP)	-0.375	49-53	18-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig320.genewise.18.final_new_mrna	0.006	No mitochondrial presequence	45(MPP)	0.044	27-31	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig40.fgenesh_plus.1.final_new_mrna	0.027	No mitochondrial presequence	13(MPP)	0.077	21-25,81-85	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1158.Fgenesh_histo.33.final_new_mrna	0.395	Possessing mitochondrial presequence	36(MPP), 37(Icp55)	0.194	18-22,37-41	18-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig181.Fgenesh_Aspergillus.130.final_new_mrna	0.000	No mitochondrial presequence	43(MPP)	0.000		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459.Fgenesh_histo.6.final_new_mrna	0.000	No mitochondrial presequence	32(MPP)	0.188	10-14	16-25-high	-	-	-	-	-	-	-	-	-	-	13-18	-	-	-	
HISTO_GY.Contig460.Fgenesh_Aspergillus.189.final_new_mrna	0.000	No mitochondrial presequence	19(MPP)	0.000		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.Fgenesh_histo.133.final_new_mrna	0.004	No mitochondrial presequence	22(MPP)	0.091	19-23,96-100	19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1128f.eannot.1148.final_new_mrna	0.009	No mitochondrial presequence	41(MPP)	-0.024	22-26	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZM.Contig34.Fgenesh_Aspergillus.5.final_new_mrna	0.005	No mitochondrial presequence	53(MPP)	-0.094	39-43,60-64	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_CT.Contig15-snap.1.final_new_mrna	0.000	No mitochondrial presequence	30(MPP)	0.000	7-11,24-28,28-32,59-63	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZY.Contig518.Fgenesh_histo.41.final_new_mrna	0.007	No mitochondrial presequence	18(MPP)	0.111	27-31	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.genewise.2.final_new_mrna	0.003	No mitochondrial presequence	10(MPP)	-0.300	34-38	14-23-high	-	-	-	-	-	-	16-21	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_Aspergillus.274.final_new_mrna	0.000	No mitochondrial presequence	15(MPP)	0.067		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig65.Fgenesh_histo.38.final_new_mrna	0.034	No mitochondrial presequence	52(MPP)	0.077		3-12-low	-	-	-	-	-	-	23-28	-	-	22-27	-	-	-	-	
HISTO_AZ.Contig47.Fgenesh_histo.44.final_new_mrna	0.000	No mitochondrial presequence	57(MPP)	-0.053	94-98	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127b.Fgenesh_histo.126.final_new_mrna	0.003	No mitochondrial presequence	26(MPP)	-0.038		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459.Fgenesh_Neurospora.68.final_new_mrna	0.000	No mitochondrial presequence	33(MPP)	-0.091		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_Aspergillus.142.final_new_mrna	0.196	No mitochondrial presequence	16(MPP)	0.188		3-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GB.Contig114.Fgenesh_Aspergillus.13.final_new_mrna	0.000	No mitochondrial presequence	12(MPP)	0.083	34-38	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_Neurospora.211.final_new_mrna	0.361	No mitochondrial presequence	20(MPP)	0.150	9-13	1-10-high	-	-	-	-	-	-	-	-	-	-	-	8-13	-	-	
HISTO_FE.Contig19.Fgenesh_histo.161.final_new_mrna	0.000	No mitochondrial presequence	49(MPP)	-0.041	78-82	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127c.Fgenesh_histo.122.final_new_mrna	0.000	No mitochondrial presequence	39(MPP)	-0.128	41-45,75-79,82-86	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig933.Fgenesh_Aspergillus.152.final_new_mrna	0.000	No mitochondrial presequence	59(MPP)	0.034		4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_histo.95.final_new_mrna	0.000	No mitochondrial presequence	30(MPP)	0.033		19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZH.Contig107.eannot.1139.final_new_mrna	0.112	No mitochondrial presequence	25(MPP)	0.120	22-26	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_IBP.Contig1.genewise.1.final_new_mrna	0.000	No mitochondrial presequence	28(MPP)	0.071	28-32,83-87	5-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_histo.229.final_new_mrna	0.000	No mitochondrial presequence	60(MPP)	-0.067		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.Fgenesh_histo.75.final_new_mrna	0.070	No mitochondrial presequence	45(MPP)	0.044	16-20	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LAE.Contig1.Fgenesh_Aspergillus.2.final_new_mrna	0.152	No mitochondrial presequence	30(MPP), 31(Icp55)	0.167	5-9,28-32	17-26-high	-	-	-	-	-	-	-	18-23	-	-	-	-	-	-	
HISTO_KF.Contig601.eannot.1319.final_new_mrna	0.033	No mitochondrial presequence	26(MPP)	0.115		16-28-high	-	-	-	-	-	2-7	-	-	-	1-6	-	-	-	-	
HISTO_FE.Contig19.eannot.1757.final_new_mrna	0.036	No mitochondrial presequence	36(MPP)	0.083	13-17,33-37,67-71	1-12-low	-	-	14-19	-	13-18	-	-	-	-	-	-	-	-	-	
HISTO_ZE.Contig149.Fgenesh_Aspergillus.60.final_new_mrna	0.010	No mitochondrial presequence	8(MPP), 9(Icp55)	0.375	80-84	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig320.Fgenesh_Neurospora.32.final_new_mrna	0.000	No mitochondrial presequence	12(MPP)	0.250	10-14	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.eannot.1969.final_new_mrna	0.000	No mitochondrial presequence	80(MPP), 81(Icp55)	0.125		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig93.eannot.1761.final_new_mrna	0.004	No mitochondrial presequence	13(MPP)	-0.154		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GB.Contig114.genewise.4.final_new_mrna	0.098	No mitochondrial presequence	74(MPP)	0.122		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.eannot.1847.final_new_mrna	0.042	No mitochondrial presequence	27(MPP)	-0.074	29-33,43-47	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_IAK.Contig4.Fgenesh_Neurospora.2.final_new_mrna	0.012	No mitochondrial presequence	85(MPP)	-0.059	82-86	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LL.Contig1.Fgenesh_Aspergillus.16.final_new_mrna	0.005	No mitochondrial presequence	59(MPP)	-0.017	78-82	11-22-low	-	-	-	-	-	-	21-26	-	-	-	-	-	-	20-25	
HISTO_JG.Contig206.Fgenesh_Aspergillus.65.final_new_mrna	0.000	No mitochondrial presequence	61(MPP)	0.066		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig601.eannot.1265.final_new_mrna	0.003	No mitochondrial presequence	32(MPP), 33(Icp55)	0.094		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZY.Contig518.genewise.3.final_new_mrna	0.000	No mitochondrial presequence	9(MPP)	0.000		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig940.Fgenesh_histo.57.final_new_mrna	0.032	No mitochondrial presequence	39(MPP)	0.077		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EK.Contig2.Fgenesh_Neurospora.6.final_new_mrna	0.016	No mitochondrial presequence	7(MPP)	0.143	26-30	1-12-low	-	-	-	-	-	-	4-9	-	-	-	-	-	-	3-8	
HISTO_EA.Contig33.Fgenesh_histo.7.final_new_mrna	0.000	No mitochondrial presequence	51(MPP)	0.078	45-49	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig174.eannot.1494.final_new_mrna	0.000	No mitochondrial presequence	50(MPP)	-0.200	54-58	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig940.Fgenesh_histo.28.final_new_mrna	0.006	No mitochondrial presequence	31(MPP)	-0.032	55-59	14-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.eannot.1586.final_new_mrna	0.056	No mitochondrial presequence	40(MPP)	0.100	38-42	2-11-high	-	-	-	-	-	-	2-7	-	-	1-6	-	-	-	-	
HISTO_BI.Contig285.Fgenesh_histo.36.final_new_mrna	0.037	No mitochondrial presequence	67(MPP)	-0.075		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457-snap.101.final_new_mrna	0.000	No mitochondrial presequence	60(MPP)	0.000	18-22	12-22-low	-	-	-	-	-	-	-	-	-	-	-	17-22	-	-	
HISTO_ZL.Contig1131.Fgenesh_Aspergillus.225.final_new_mrna	0.033	No mitochondrial presequence	28(MPP)	0.179		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.eannot.2061.final_new_mrna	0.137	No mitochondrial presequence	22(MPP)	0.045	16-20	11-20-high	-	-	-	-	16-21	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1089.eannot.1658.final_new_mrna	0.000	No mitochondrial presequence	57(MPP)	-0.053		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161b.eannot.1275.final_new_mrna	0.055	No mitochondrial presequence	12(MPP)	0.167		9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig597.Fgenesh_histo.72.final_new_mrna	0.007	No mitochondrial presequence	68(MPP)	0.029	26-30,42-46,66-70,69-73,72-76	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DK.Contig309.Fgenesh_Aspergillus.23.final_new_mrna	0.000	No mitochondrial presequence	17(MPP)	-0.294		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33.eannot.1637.final_new_mrna	0.992	Possessing mitochondrial presequence	33(MPP)	0.212	7-11	6-15-high	-	-	-	-	7-12	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig207.Fgenesh_histo.110.final_new_mrna	0.005	No mitochondrial presequence	49(MPP)	0.184		7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig933.eannot.1553.final_new_mrna	0.045	No mitochondrial presequence	15(MPP)	0.067		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig363.Fgenesh_Neurospora.39.final_new_mrna	0.000	No mitochondrial presequence	37(MPP)	-0.135	59-63	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig936.eannot.1264.final_new_mrna	0.000	No mitochondrial presequence	56(MPP)	0.000	2-6	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459.Fgenesh_histo.75.final_new_mrna	0.000	No mitochondrial presequence	14(MPP)	0.000	11-15	4-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig296.fgenesh_plus.54.final_new_mrna	0.004	No mitochondrial presequence	15(MPP)	0.067	64-68	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.Fgenesh_histo.48.final_new_mrna	0.127	No mitochondrial presequence	65(MPP)	0.123	51-55	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig317.eannot.1538.final_new_mrna	0.000	No mitochondrial presequence	33(MPP)	0.030	22-26,38-42	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FX.Contig167.eannot.1338.final_new_mrna	0.000	No mitochondrial presequence	42(MPP)	0.048		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.eannot.1689.final_new_mrna	0.000	No mitochondrial presequence	46(MPP)	0.043	37-41	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.Fgenesh_histo.13.final_new_mrna	0.311	No mitochondrial presequence	53(MPP), 54(Icp55)	0.094		8-17-high	-	-	-	-	-	-	-	-	4-9	-	3-8	-	-	-	
